row_id,run_id,depl,model,rss(kb),vsz(kb)
82,7,DOCKER,cifar10,408.61353846153844,92.14284615384615
83,7,DOCKER,emotion,402.6843287671233,90.02087671232877
84,7,DOCKER,yolov4,480.5760740740741,165.70155555555556
85,8,ONNX,mnist,409.3445357142857,89.16682142857144
86,8,ONNX,cifar10,403.8742752293578,88.62473394495413
87,8,ONNX,emotion,401.7768,85.59108571428571
88,8,ONNX,yolov4,485.33523232323233,165.60848484848486
89,8,SCLB,mnist,214.37474125874127,121.7784895104895
90,8,SCLB,cifar10,184.93081690140846,92.05011267605633
91,8,SCLB,emotion,185.39434965034965,92.61205594405594
92,8,SCLB,yolov4,398.16011510791367,307.4768920863309
93,8,DOCKER,mnist,412.0893015873016,92.39044444444444
94,8,DOCKER,cifar10,409.8400754716981,92.67162264150943
95,8,DOCKER,emotion,402.7235068493151,89.69068493150685
96,8,DOCKER,yolov4,486.63779439252335,168.39667289719625
97,9,ONNX,mnist,406.6263666666666,88.35866666666666
98,9,ONNX,cifar10,407.6553076923077,89.51634615384616
99,9,ONNX,emotion,401.4674029850746,85.97594029850745
100,9,ONNX,yolov4,483.10102857142857,164.05062857142858
101,9,SCLB,mnist,216.15567164179103,122.91510447761193
102,9,SCLB,cifar10,185.14129032258063,92.2636129032258
103,9,SCLB,emotion,183.7842191780822,91.6372602739726
104,9,SCLB,yolov4,398.9578417266187,308.09608633093524
105,9,DOCKER,mnist,411.49726315789474,93.2692030075188
106,9,DOCKER,cifar10,414.0448316831683,94.61247524752476
107,9,DOCKER,emotion,402.0910285714286,88.78388571428572
108,9,DOCKER,yolov4,484.89115596330277,166.77801834862385
109,10,ONNX,mnist,406.342,88.24101754385966
110,10,ONNX,cifar10,409.76884615384614,89.777
111,10,ONNX,emotion,401.6324705882353,85.59788235294117
112,10,ONNX,yolov4,482.9031153846154,163.98415384615384
113,10,SCLB,mnist,216.74385294117647,123.42738235294118
114,10,SCLB,cifar10,183.77744966442953,91.48910067114095
115,10,SCLB,emotion,185.2165945945946,92.47816216216216
116,10,SCLB,yolov4,406.9576811594203,315.0391304347826
117,10,DOCKER,mnist,409.87348031496066,91.48853543307087
118,10,DOCKER,cifar10,413.22388679245284,92.84422641509434
119,10,DOCKER,emotion,405.9835616438356,91.388
120,10,DOCKER,yolov4,484.01258181818184,167.11774545454546
