row_id,run_id,depl,model,exec_time(s),start,end
93,8,DOCKER,mnist,46.64622413299912,2021-11-22 12:47:56.313640,2021-11-22 12:48:42.959864
94,8,DOCKER,cifar10,34.8271355020006,2021-11-22 12:46:06.394010,2021-11-22 12:46:41.221146
95,8,DOCKER,emotion,25.649735558999964,2021-11-22 12:24:58.311698,2021-11-22 12:25:23.961434
96,8,DOCKER,yolov4,42.93369235599994,2021-11-22 11:13:14.749238,2021-11-22 11:13:57.682930
97,9,ONNX,mnist,43.288075647998994,2021-11-22 14:17:27.622704,2021-11-22 14:18:10.910780
98,9,ONNX,cifar10,33.980432356000165,2021-11-22 13:24:23.689708,2021-11-22 13:24:57.670140
99,9,ONNX,emotion,35.979923778,2021-11-22 10:30:20.202332,2021-11-22 10:30:56.182256
100,9,ONNX,yolov4,42.99498405600025,2021-11-22 13:53:21.840496,2021-11-22 13:54:04.835480
101,9,SCLB,mnist,55.90867591700044,2021-11-22 12:53:40.470947,2021-11-22 12:54:36.379623
102,9,SCLB,cifar10,52.39164104099973,2021-11-22 11:05:04.761976,2021-11-22 11:05:57.153617
103,9,SCLB,emotion,56.74946582800021,2021-11-22 12:36:15.082588,2021-11-22 12:37:11.832054
104,9,SCLB,yolov4,59.62714271599907,2021-11-22 14:25:02.172881,2021-11-22 14:26:01.800024
105,9,DOCKER,mnist,46.303023832999315,2021-11-22 13:58:40.255200,2021-11-22 13:59:26.558224
106,9,DOCKER,cifar10,34.47226364200105,2021-11-22 15:03:30.090124,2021-11-22 15:04:04.562388
107,9,DOCKER,emotion,25.801828011000907,2021-11-22 13:55:17.539771,2021-11-22 13:55:43.341599
108,9,DOCKER,yolov4,43.30926682100005,2021-11-22 10:36:00.525168,2021-11-22 10:36:43.834435
109,10,ONNX,mnist,43.39556681800059,2021-11-22 12:17:28.881151,2021-11-22 12:18:12.276718
110,10,ONNX,cifar10,35.63145809299931,2021-11-22 14:42:16.007563,2021-11-22 14:42:51.639021
111,10,ONNX,emotion,25.2039018079995,2021-11-22 12:57:49.384256,2021-11-22 12:58:14.588158
112,10,ONNX,yolov4,43.03744756600099,2021-11-22 12:44:10.308310,2021-11-22 12:44:53.345758
113,10,SCLB,mnist,58.01015105200031,2021-11-22 11:08:55.988191,2021-11-22 11:09:53.998342
114,10,SCLB,cifar10,52.945321695999155,2021-11-22 14:19:18.836701,2021-11-22 14:20:11.782023
115,10,SCLB,emotion,57.51534029800132,2021-11-22 13:31:47.677940,2021-11-22 13:32:45.193280
116,10,SCLB,yolov4,59.372313245999976,2021-11-22 15:11:01.058611,2021-11-22 15:12:00.430924
117,10,DOCKER,mnist,48.012449898998966,2021-11-22 14:27:14.670262,2021-11-22 14:28:02.682712
118,10,DOCKER,cifar10,35.72676356300008,2021-11-22 10:59:46.690987,2021-11-22 11:00:22.417751
119,10,DOCKER,emotion,25.646639821999997,2021-11-22 12:38:24.563963,2021-11-22 12:38:50.210603
120,10,DOCKER,yolov4,42.281485394998526,2021-11-22 14:45:45.926448,2021-11-22 14:46:28.207933
