row_id,run_id,depl,model,rss(kb),vsz(kb)
45,4,DOCKER,mnist,418.5501037037037,99.076
46,4,DOCKER,cifar10,413.5879591836735,94.67106122448979
47,4,DOCKER,emotion,409.8606111111111,92.17211111111111
48,4,DOCKER,yolov4,495.22852892561986,173.73381818181818
49,5,ONNX,mnist,413.8743193277311,98.76329411764706
50,5,ONNX,cifar10,409.54156,94.99228
51,5,ONNX,emotion,400.2879420289855,90.95611594202899
52,5,ONNX,yolov4,487.07405217391306,172.33679999999998
53,5,SCLB,mnist,294.3948342857143,201.20594285714284
54,5,SCLB,cifar10,205.17336296296298,112.25597037037038
55,5,SCLB,emotion,218.67736842105265,125.87581578947368
56,5,SCLB,yolov4,558.8970683229813,467.73455900621116
57,5,DOCKER,mnist,415.37346268656717,98.29555223880598
58,5,DOCKER,cifar10,413.5853469387755,94.6109387755102
59,5,DOCKER,emotion,409.8606111111111,92.36216666666667
60,5,DOCKER,yolov4,495.43170247933887,173.25652892561985
61,6,ONNX,mnist,413.88664406779657,99.23240677966102
62,6,ONNX,cifar10,410.0242105263158,95.24063157894737
63,6,ONNX,emotion,406.2889714285715,92.27034285714285
64,6,ONNX,yolov4,491.5275213675214,173.81022222222222
65,6,SCLB,mnist,301.3448860759494,208.17377215189873
66,6,SCLB,cifar10,203.52179411764706,111.28091176470589
67,6,SCLB,emotion,216.89550326797388,124.65278431372549
68,6,SCLB,yolov4,571.0372026143791,477.92146405228755
69,6,DOCKER,mnist,418.4499701492537,99.08379104477612
70,6,DOCKER,cifar10,413.6233131313131,94.63648484848486
71,6,DOCKER,emotion,410.14634666666666,92.30368
72,6,DOCKER,yolov4,495.29408403361344,173.1032268907563
73,7,ONNX,mnist,414.01983739837397,98.96679674796748
74,7,ONNX,cifar10,409.9947368421053,95.20766315789474
75,7,ONNX,emotion,406.2826857142857,92.38708571428572
76,7,ONNX,yolov4,491.4741379310345,174.0128275862069
77,7,SCLB,mnist,301.0266666666667,207.85046153846153
78,7,SCLB,cifar10,205.23926470588236,112.31408823529411
79,7,SCLB,emotion,218.57602631578948,125.78815789473684
80,7,SCLB,yolov4,572.823975308642,479.70513580246916
81,7,DOCKER,mnist,418.5095294117647,98.80905882352941
82,7,DOCKER,cifar10,413.55657142857143,94.48416326530612
83,7,DOCKER,emotion,409.8606666666667,92.153
84,7,DOCKER,yolov4,491.46933333333334,172.108
85,8,ONNX,mnist,414.0176451612903,99.12429032258065
86,8,ONNX,cifar10,410.08119587628863,95.09043298969071
87,8,ONNX,emotion,406.25165217391304,92.56997101449275
88,8,ONNX,yolov4,491.40841739130434,173.84041739130433
89,8,SCLB,mnist,300.8008205128205,207.6214871794872
90,8,SCLB,cifar10,205.29970588235295,112.38767647058823
91,8,SCLB,emotion,218.63389610389612,125.84394805194806
92,8,SCLB,yolov4,570.9471851851852,477.6861728395062
93,8,DOCKER,mnist,418.4432835820895,99.04202985074627
94,8,DOCKER,cifar10,409.4206060606061,93.30452525252525
95,8,DOCKER,emotion,409.86438888888887,92.21983333333333
96,8,DOCKER,yolov4,495.16473333333334,173.2883
97,9,ONNX,mnist,413.99203305785124,99.024
98,9,ONNX,cifar10,409.9556595744681,95.08893617021276
99,9,ONNX,emotion,402.8251717171717,91.30274747474748
100,9,ONNX,yolov4,491.4702068965517,173.90110344827585
101,9,SCLB,mnist,298.72198726114647,206.1343439490446
102,9,SCLB,cifar10,205.30405925925925,112.37194074074074
103,9,SCLB,emotion,218.74309933774833,125.93056953642383
104,9,SCLB,yolov4,570.6355749999999,477.493225
105,9,DOCKER,mnist,418.42153383458646,99.10866165413535
106,9,DOCKER,cifar10,413.56955102040814,94.35530612244898
107,9,DOCKER,emotion,409.9053333333333,92.29994444444444
108,9,DOCKER,yolov4,500.8576610169492,176.16542372881355
109,10,ONNX,mnist,414.0225785123967,98.80912396694215
110,10,ONNX,cifar10,410.14771428571424,95.11020408163265
111,10,ONNX,emotion,406.1715294117647,92.20464705882353
112,10,ONNX,yolov4,491.5253675213675,173.77035897435897
113,10,SCLB,mnist,295.7677037037037,203.13276543209875
114,10,SCLB,cifar10,205.45281751824817,112.54481751824818
115,10,SCLB,emotion,218.67524183006535,125.88562091503267
116,10,SCLB,yolov4,572.9290769230769,479.8218205128205
117,10,DOCKER,mnist,418.5588695652174,99.10695652173914
118,10,DOCKER,cifar10,413.77031372549015,94.67211764705883
119,10,DOCKER,emotion,409.8642222222222,92.055
120,10,DOCKER,yolov4,495.1923050847457,172.97345762711865
