depl,model,energy(joules),timestamp
ONNX,cifar10,2011.3944841564428,23
ONNX,cifar10,2195.029975494188,24
ONNX,cifar10,2393.3012200353005,25
ONNX,cifar10,2581.754549805127,26
ONNX,cifar10,2775.8055352361,27
ONNX,cifar10,2991.4506148421133,28
ONNX,cifar10,3210.779730104651,29
ONNX,cifar10,3428.3670949818006,30
ONNX,cifar10,3642.964001672228,31
ONNX,cifar10,3858.259974926047,32
ONNX,cifar10,4098.3528674735535,33
ONNX,cifar10,4344.335435461085,34
ONNX,cifar10,4588.181465254394,35
ONNX,cifar10,4844.0526353406385,36
ONNX,cifar10,5114.144949094572,37
ONNX,cifar10,5392.856725519754,38
ONNX,cifar10,5670.464035325109,39
ONNX,cifar10,5953.478224294463,40
ONNX,cifar10,6243.575844579366,41
ONNX,cifar10,6532.851320624652,42
SCLB,mnist,3.7250258891708654,1
SCLB,mnist,14.708710635960763,2
SCLB,mnist,31.728957378508397,3
SCLB,mnist,53.74835305480854,4
SCLB,mnist,81.25721241619637,5
SCLB,mnist,116.56633966516421,6
SCLB,mnist,161.25292713344191,7
SCLB,mnist,213.26270300367412,8
SCLB,mnist,269.1487649426158,9
SCLB,mnist,327.5685568728457,10
SCLB,mnist,391.8394950948828,11
SCLB,mnist,466.2404739214424,12
SCLB,mnist,555.7773514071437,13
SCLB,mnist,653.0006856937238,14
SCLB,mnist,749.5256004980872,15
SCLB,mnist,848.2417141774932,16
SCLB,mnist,950.5420841918866,17
SCLB,mnist,1058.5364240937843,18
SCLB,mnist,1178.6841534695652,19
SCLB,mnist,1310.9207427748947,20
SCLB,mnist,1451.7938003958182,21
SCLB,mnist,1595.4517530964733,22
SCLB,mnist,1736.9431476932689,23
SCLB,mnist,1883.9152841180253,24
SCLB,mnist,2040.7758108120897,25
SCLB,mnist,2209.251167550471,26
SCLB,mnist,2396.736330328396,27
SCLB,mnist,2586.4749038294,28
SCLB,mnist,2766.2473832430583,29
SCLB,mnist,2947.410724404378,30
SCLB,mnist,3134.0825587572435,31
SCLB,mnist,3337.474864133934,32
SCLB,mnist,3558.539847761448,33
SCLB,mnist,3786.167449452672,34
SCLB,mnist,4011.8652030226126,35
SCLB,mnist,4232.235426688383,36
SCLB,mnist,4481.492014213476,37
SCLB,mnist,4749.149768531494,38
SCLB,mnist,5013.989509109502,39
SCLB,mnist,5274.059430703382,40
SCLB,mnist,5524.947920391272,41
SCLB,mnist,5781.717381462823,42
SCLB,mnist,6057.824724584296,43
SCLB,mnist,6357.4609545850535,44
SCLB,mnist,6662.8504996969805,45
SCLB,mnist,6956.130569580697,46
SCLB,mnist,7241.227890695427,47
SCLB,mnist,7536.580408014846,48
SCLB,mnist,7836.573502253702,49
SCLB,mnist,8155.9793767281535,50
SCLB,mnist,8501.606447017351,51
SCLB,mnist,8838.934681129474,52
SCLB,mnist,9160.442572819946,53
SCLB,mnist,9484.677865780106,54
SCLB,mnist,9817.858334695373,55
SCLB,mnist,10182.446369935893,56
SCLB,mnist,10593.133195659066,57
DOCKER,cifar10,2.9866517316082897,1
DOCKER,cifar10,12.815304697915405,2
DOCKER,cifar10,31.972212904117676,3
DOCKER,cifar10,61.493117311537986,4
DOCKER,cifar10,96.12362833861044,5
DOCKER,cifar10,139.87022109062536,6
DOCKER,cifar10,194.58787390354198,7
DOCKER,cifar10,254.60675425705972,8
DOCKER,cifar10,321.76799645497516,9
DOCKER,cifar10,396.1564333111138,10
