depl,model,rss(kb),vsz(kb),timestamp,time
ONNX,yolov4,498176,176328,12/03/21 20:48:51.219,20.271
ONNX,yolov4,498176,176328,12/03/21 20:48:51.653,20.705
ONNX,yolov4,498176,176328,12/03/21 20:48:52.095,21.147
ONNX,yolov4,498176,176328,12/03/21 20:48:52.540,21.592
ONNX,yolov4,498176,176328,12/03/21 20:48:52.985,22.037
ONNX,yolov4,498176,176328,12/03/21 20:48:53.432,22.484
ONNX,yolov4,498176,176328,12/03/21 20:48:53.873,22.925
ONNX,yolov4,498176,176328,12/03/21 20:48:54.308,23.36
ONNX,yolov4,498176,176328,12/03/21 20:48:54.750,23.802
ONNX,yolov4,498176,176328,12/03/21 20:48:55.195,24.247
ONNX,yolov4,498176,176328,12/03/21 20:48:55.640,24.692
ONNX,yolov4,498176,176328,12/03/21 20:48:56.084,25.136
ONNX,yolov4,498176,176328,12/03/21 20:48:56.521,25.573
ONNX,yolov4,498176,176328,12/03/21 20:48:56.967,26.019
ONNX,yolov4,498176,176328,12/03/21 20:48:57.409,26.461
ONNX,yolov4,498176,176328,12/03/21 20:48:57.855,26.907
ONNX,yolov4,498176,176328,12/03/21 20:48:58.299,27.351
ONNX,yolov4,498176,176328,12/03/21 20:48:58.747,27.799
ONNX,yolov4,498176,176328,12/03/21 20:48:59.189,28.241
ONNX,yolov4,498176,176328,12/03/21 20:48:59.625,28.677
ONNX,yolov4,498176,176328,12/03/21 20:49:00.068,29.12
ONNX,yolov4,498176,176328,12/03/21 20:49:00.506,29.558
ONNX,yolov4,498176,176328,12/03/21 20:49:00.950,30.002
ONNX,yolov4,498176,176328,12/03/21 20:49:01.391,30.443
ONNX,yolov4,498176,176328,12/03/21 20:49:01.832,30.884
ONNX,yolov4,498176,176328,12/03/21 20:49:02.287,31.339
ONNX,yolov4,498176,176328,12/03/21 20:49:02.732,31.784
ONNX,yolov4,498176,176328,12/03/21 20:49:03.175,32.227
ONNX,yolov4,498176,176328,12/03/21 20:49:03.612,32.664
ONNX,yolov4,498176,176328,12/03/21 20:49:04.053,33.105
ONNX,yolov4,498176,176328,12/03/21 20:49:04.495,33.547
ONNX,yolov4,498176,176328,12/03/21 20:49:04.947,33.999
ONNX,yolov4,498176,176328,12/03/21 20:49:05.383,34.435
ONNX,yolov4,498176,176328,12/03/21 20:49:05.832,34.884
ONNX,yolov4,498176,176328,12/03/21 20:49:06.268,35.32
ONNX,yolov4,498176,176328,12/03/21 20:49:06.713,35.765
ONNX,yolov4,498176,176328,12/03/21 20:49:07.159,36.211
ONNX,yolov4,498176,176328,12/03/21 20:49:07.600,36.652
ONNX,yolov4,498176,176328,12/03/21 20:49:08.044,37.096
ONNX,yolov4,498176,176328,12/03/21 20:49:08.490,37.542
ONNX,yolov4,498176,176328,12/03/21 20:49:08.926,37.978
ONNX,yolov4,498176,176328,12/03/21 20:49:09.366,38.418
ONNX,yolov4,498176,176328,12/03/21 20:49:09.803,38.855
ONNX,yolov4,498176,176328,12/03/21 20:49:10.248,39.3
ONNX,yolov4,498176,176328,12/03/21 20:49:10.725,39.777
ONNX,yolov4,498176,176328,12/03/21 20:49:11.163,40.215
ONNX,yolov4,498176,176328,12/03/21 20:49:11.614,40.666
ONNX,yolov4,498176,176328,12/03/21 20:49:12.054,41.106
ONNX,yolov4,498176,176328,12/03/21 20:49:12.496,41.548
ONNX,yolov4,498176,176328,12/03/21 20:49:12.936,41.988
ONNX,yolov4,498176,176532,12/03/21 20:49:13.378,42.43
ONNX,yolov4,492800,171312,12/03/21 20:49:13.803,42.855
DOCKER,mnist,167164,17796,12/03/21 21:07:48.379,0.0
DOCKER,mnist,189460,32828,12/03/21 21:07:48.771,0.392
DOCKER,mnist,311584,63692,12/03/21 21:07:49.158,0.779
DOCKER,mnist,322928,71808,12/03/21 21:07:49.549,1.17
DOCKER,mnist,323108,72340,12/03/21 21:07:49.926,1.547
DOCKER,mnist,327436,76000,12/03/21 21:07:50.316,1.937
DOCKER,mnist,333328,80876,12/03/21 21:07:50.703,2.324
DOCKER,mnist,336468,83436,12/03/21 21:07:51.093,2.714
DOCKER,mnist,417376,94856,12/03/21 21:07:51.490,3.111
DOCKER,mnist,417376,94856,12/03/21 21:07:51.900,3.521
DOCKER,mnist,417376,94856,12/03/21 21:07:52.310,3.931
DOCKER,mnist,417376,94856,12/03/21 21:07:52.719,4.34
DOCKER,mnist,417376,94856,12/03/21 21:07:53.128,4.749
DOCKER,mnist,417376,94856,12/03/21 21:07:53.538,5.159
DOCKER,mnist,417376,94856,12/03/21 21:07:53.948,5.569
DOCKER,mnist,417376,94856,12/03/21 21:07:54.358,5.979
DOCKER,mnist,417376,94856,12/03/21 21:07:54.768,6.389
DOCKER,mnist,417376,94856,12/03/21 21:07:55.179,6.8
DOCKER,mnist,417376,94856,12/03/21 21:07:55.589,7.21
DOCKER,mnist,417376,94856,12/03/21 21:07:55.999,7.62
DOCKER,mnist,417376,94856,12/03/21 21:07:56.409,8.03
DOCKER,mnist,417376,94856,12/03/21 21:07:56.819,8.44
DOCKER,mnist,417376,94856,12/03/21 21:07:57.229,8.85
DOCKER,mnist,417376,94856,12/03/21 21:07:57.639,9.26
DOCKER,mnist,417376,94856,12/03/21 21:07:58.049,9.67
DOCKER,mnist,417376,94856,12/03/21 21:07:58.458,10.079
DOCKER,mnist,417376,94856,12/03/21 21:07:58.868,10.489
DOCKER,mnist,417376,94856,12/03/21 21:07:59.279,10.9
DOCKER,mnist,417376,94856,12/03/21 21:07:59.689,11.31
DOCKER,mnist,417376,94856,12/03/21 21:08:00.101,11.722
DOCKER,mnist,417376,94856,12/03/21 21:08:00.512,12.133
DOCKER,mnist,417376,94856,12/03/21 21:08:00.922,12.543
DOCKER,mnist,417376,94856,12/03/21 21:08:01.334,12.955
DOCKER,mnist,417376,94856,12/03/21 21:08:01.743,13.364
DOCKER,mnist,417376,94856,12/03/21 21:08:02.154,13.775
DOCKER,mnist,417376,94856,12/03/21 21:08:02.564,14.185
DOCKER,mnist,417376,94856,12/03/21 21:08:02.974,14.595
DOCKER,mnist,417376,94856,12/03/21 21:08:03.384,15.005
DOCKER,mnist,417376,94856,12/03/21 21:08:03.794,15.415
DOCKER,mnist,417376,94856,12/03/21 21:08:04.205,15.826
DOCKER,mnist,417376,94856,12/03/21 21:08:04.621,16.242
DOCKER,mnist,417376,94856,12/03/21 21:08:05.032,16.653
DOCKER,mnist,417376,94856,12/03/21 21:08:05.451,17.072
DOCKER,mnist,417376,94856,12/03/21 21:08:05.869,17.49
DOCKER,mnist,417376,94856,12/03/21 21:08:06.280,17.901
DOCKER,mnist,417376,94856,12/03/21 21:08:06.697,18.318
DOCKER,mnist,417376,94856,12/03/21 21:08:07.109,18.73
DOCKER,mnist,417376,94856,12/03/21 21:08:07.520,19.141
DOCKER,mnist,417376,94856,12/03/21 21:08:07.930,19.551
DOCKER,mnist,417376,94856,12/03/21 21:08:08.340,19.961
DOCKER,mnist,417376,94856,12/03/21 21:08:08.756,20.377
DOCKER,mnist,417376,94856,12/03/21 21:08:09.168,20.789
DOCKER,mnist,417376,94856,12/03/21 21:08:09.584,21.205
DOCKER,mnist,417376,94856,12/03/21 21:08:10.004,21.625
DOCKER,mnist,417376,94856,12/03/21 21:08:10.414,22.035
DOCKER,mnist,417376,94856,12/03/21 21:08:10.834,22.455
DOCKER,mnist,417376,94856,12/03/21 21:08:11.258,22.879
DOCKER,mnist,417376,94856,12/03/21 21:08:11.672,23.293
DOCKER,mnist,417376,94856,12/03/21 21:08:12.088,23.709
DOCKER,mnist,417376,94856,12/03/21 21:08:12.500,24.121
DOCKER,mnist,417376,94856,12/03/21 21:08:12.920,24.541
DOCKER,mnist,417376,94856,12/03/21 21:08:13.343,24.964
DOCKER,mnist,417376,94856,12/03/21 21:08:13.753,25.374
DOCKER,mnist,417376,94856,12/03/21 21:08:14.164,25.785
DOCKER,mnist,417376,94856,12/03/21 21:08:14.572,26.193
DOCKER,mnist,417376,94856,12/03/21 21:08:14.985,26.606
DOCKER,mnist,417376,94856,12/03/21 21:08:15.406,27.027
DOCKER,mnist,417376,94856,12/03/21 21:08:15.820,27.441
DOCKER,mnist,417376,94856,12/03/21 21:08:16.235,27.856
DOCKER,mnist,417376,94856,12/03/21 21:08:16.650,28.271
DOCKER,mnist,417376,94856,12/03/21 21:08:17.063,28.684
DOCKER,mnist,417376,94856,12/03/21 21:08:17.476,29.097
DOCKER,mnist,417376,94856,12/03/21 21:08:17.892,29.513
DOCKER,mnist,417376,94856,12/03/21 21:08:18.309,29.93
DOCKER,mnist,417376,94856,12/03/21 21:08:18.727,30.348
DOCKER,mnist,417376,94856,12/03/21 21:08:19.140,30.761
DOCKER,mnist,417376,94856,12/03/21 21:08:19.555,31.176
DOCKER,mnist,417376,94856,12/03/21 21:08:19.973,31.594
DOCKER,mnist,417376,94856,12/03/21 21:08:20.392,32.013
DOCKER,mnist,417376,94856,12/03/21 21:08:20.813,32.434
DOCKER,mnist,417376,94856,12/03/21 21:08:21.228,32.849
DOCKER,mnist,417376,94856,12/03/21 21:08:21.648,33.269
DOCKER,mnist,417376,94856,12/03/21 21:08:22.059,33.68
DOCKER,mnist,417376,94856,12/03/21 21:08:22.475,34.096
DOCKER,mnist,417376,94856,12/03/21 21:08:22.892,34.513
DOCKER,mnist,417376,94856,12/03/21 21:08:23.309,34.93
DOCKER,mnist,417376,94856,12/03/21 21:08:23.734,35.355
DOCKER,mnist,417376,94856,12/03/21 21:08:24.144,35.765
DOCKER,mnist,417376,94856,12/03/21 21:08:24.566,36.187
DOCKER,mnist,417376,94856,12/03/21 21:08:24.978,36.599
DOCKER,mnist,417376,94856,12/03/21 21:08:25.403,37.024
DOCKER,mnist,417376,94856,12/03/21 21:08:25.822,37.443
DOCKER,mnist,417376,94856,12/03/21 21:08:26.233,37.854
DOCKER,mnist,417376,94856,12/03/21 21:08:26.651,38.272
DOCKER,mnist,417376,94856,12/03/21 21:08:27.075,38.696
DOCKER,mnist,417376,94856,12/03/21 21:08:27.490,39.111
DOCKER,mnist,417376,94856,12/03/21 21:08:27.908,39.529
DOCKER,mnist,417376,94856,12/03/21 21:08:28.328,39.949
DOCKER,mnist,417376,94856,12/03/21 21:08:28.749,40.37
DOCKER,mnist,417376,94856,12/03/21 21:08:29.170,40.791
DOCKER,mnist,417376,94856,12/03/21 21:08:29.595,41.216
DOCKER,mnist,417376,94856,12/03/21 21:08:30.014,41.635
DOCKER,mnist,417376,94856,12/03/21 21:08:30.432,42.053
DOCKER,mnist,417376,94856,12/03/21 21:08:30.851,42.472
DOCKER,mnist,417376,94856,12/03/21 21:08:31.264,42.885
DOCKER,mnist,417376,94856,12/03/21 21:08:31.689,43.31
DOCKER,mnist,417376,94856,12/03/21 21:08:32.129,43.75
DOCKER,mnist,417376,94856,12/03/21 21:08:32.544,44.165
DOCKER,mnist,417376,94856,12/03/21 21:08:32.958,44.579
DOCKER,mnist,417376,94856,12/03/21 21:08:33.380,45.001
DOCKER,mnist,417376,94856,12/03/21 21:08:33.794,45.415
DOCKER,mnist,417376,94856,12/03/21 21:08:34.215,45.836
DOCKER,mnist,417376,94856,12/03/21 21:08:34.640,46.261
DOCKER,mnist,417376,94856,12/03/21 21:08:35.063,46.684
DOCKER,mnist,417376,94856,12/03/21 21:08:35.473,47.094
DOCKER,mnist,417376,94856,12/03/21 21:08:35.893,47.514
DOCKER,mnist,417376,94856,12/03/21 21:08:36.310,47.931
DOCKER,mnist,417376,94856,12/03/21 21:08:36.734,48.355
